"Created.Date","Anticipated.Start.Year","Recruiting.Category","State","Student.Stage","App.Application.Status","Lead.Segment.NRCCUA","Lead.Segment.Cappex","Lead.Segment.College.Board","n"
2014-10-24,2021,"N06","Out-State","Lead","","","CSROH-2020-06","",1
2015-11-10,2015,"","Out-State","Inquiry","","","","",1
2015-11-10,2016,"","In-State","Applicant","Confirmed","","","",1
2015-11-10,2016,"","In-State","Applicant","Denied","","","",3
2015-11-10,2016,"","In-State","Applicant","Enrolled","","","",4
2015-11-10,2016,"","In-State","Applicant","USM Graduate Enrolled","","","",2
2015-11-10,2016,"","In-State","Applicant","Withdrawn (After Admitted)","","","",6
2015-11-10,2016,"","In-State","Applicant","Withdrawn (Before Decision)","","","",1
2015-11-10,2016,"","In-State","Inquiry","","","","",6
2015-11-10,2016,"","In-State","Inquiry","Withdrawn (After Admitted)","","","",1
2015-11-10,2016,"","Out-State","Applicant","Confirmed","","","",1
2015-11-10,2016,"","Out-State","Applicant","Enrolled","","","",2
2015-11-10,2016,"","Out-State","Applicant","Withdrawn (After Admitted)","","","",7
2015-11-10,2016,"","Out-State","Inquiry","","","","",64
2015-11-10,2016,"NSRIG","In-State","Applicant","Enrolled","","","",8
2015-11-10,2016,"NSRIG","In-State","Applicant","Withdrawn (After Admitted)","","","",17
2015-11-10,2016,"NSRIG","In-State","Applicant","Withdrawn (Before Decision)","","","",1
2015-11-10,2016,"NSRIG","In-State","Inquiry","","","","",3
2015-11-10,2016,"NSRIG","In-State","Lead","","","","",208
2015-11-10,2016,"NSRIG","In-State","Lead","Withdrawn (After Confirmed)","","","",1
2015-11-10,2016,"NSRIH","In-State","Applicant","Denied","","","",2
2015-11-10,2016,"NSRIH","In-State","Applicant","Enrolled","","","",5
2015-11-10,2016,"NSRIH","In-State","Applicant","Withdrawn (After Admitted)","","","",17
2015-11-10,2016,"NSRIH","In-State","Applicant","Withdrawn (After Confirmed)","","","",1
2015-11-10,2016,"NSRIH","In-State","Inquiry","","","","",7
2015-11-10,2016,"NSRIH","In-State","Lead","","","","",270
2015-11-10,2016,"NSRIH","In-State","Lead","Confirmed","","","",1
2015-11-10,2016,"NSRIH","In-State","Lead","Withdrawn (After Admitted)","","","",1
2015-11-10,2016,"NSROG","Out-State","Applicant","Denied","","","",4
2015-11-10,2016,"NSROG","Out-State","Applicant","Enrolled","","","",2
2015-11-10,2016,"NSROG","Out-State","Applicant","Withdrawn (After Admitted)","","","",13
2015-11-10,2016,"NSROG","Out-State","Applicant","Withdrawn (Before Decision)","","","",4
2015-11-10,2016,"NSROG","Out-State","Inquiry","","","","",26
2015-11-10,2016,"NSROG","Out-State","Lead","","","","",3145
2015-11-10,2016,"NSROH","Out-State","Applicant","Denied","","","",2
2015-11-10,2016,"NSROH","Out-State","Applicant","Withdrawn (After Admitted)","","","",16
2015-11-10,2016,"NSROH","Out-State","Applicant","Withdrawn (Before Decision)","","","",2
2015-11-10,2016,"NSROH","Out-State","Inquiry","","","","",14
2015-11-10,2016,"NSROH","Out-State","Lead","","","","",3353
2015-11-10,2017,"","In-State","Inquiry","Enrolled","","","",1
2015-11-10,2017,"","In-State","Inquiry","Withdrawn (After Admitted)","","","",1
2015-11-10,2017,"","Out-State","Applicant","Withdrawn (After Admitted)","","","",1
2015-11-10,2017,"","Out-State","Inquiry","","","","",45
2015-11-10,2017,"","Out-State","Inquiry","Withdrawn (After Admitted)","","","",1
2015-11-10,2017,"NSRIG","In-State","Applicant","Enrolled","","","",2
2015-11-10,2017,"NSRIG","In-State","Applicant","Withdrawn (After Confirmed)","","","",1
2015-11-10,2017,"NSRIG","In-State","Inquiry","","","","",2
2015-11-10,2017,"NSRIG","In-State","Inquiry","Withdrawn (Before Decision)","","","",1
