Created.Date,State,Class,Vendor,Anticipated.Start,Lead,Inquiry,Applied,Admitted,Confirmed,Enrolled
Oct-17,In-State,JR,College Board,2018,24,24,1,0,0,0
Oct-17,In-State,JR,College Board,2019,4601,1353,878,819,222,185
Oct-17,In-State,JR,College Board,2020,166,155,132,113,68,55
Oct-17,In-State,JR,College Board,2021,17,15,8,4,1,0
Oct-17,In-State,JR,NRCCUA,2018,5,5,1,1,0,0
Oct-17,In-State,JR,NRCCUA,2019,1007,119,65,60,19,17
Oct-17,In-State,JR,NRCCUA,2020,13,13,7,4,2,2
Oct-17,In-State,JR,NRCCUA,2021,2,2,1,0,0,0
Oct-17,In-State,SR,College Board,2018,511,82,59,56,18,15
Oct-17,In-State,SR,College Board,2019,232,62,41,35,12,10
Oct-17,In-State,SR,College Board,2020,10,8,6,5,5,3
Oct-17,In-State,SR,College Board,2021,3,3,2,1,0,0
Oct-17,In-State,SR,NRCCUA,2018,55,12,9,8,2,2
Oct-17,In-State,SR,NRCCUA,2019,8,7,7,7,2,1
Oct-17,Out-State,JR,College Board,2018,19,16,0,0,0,0
Oct-17,Out-State,JR,College Board,2019,8274,380,109,87,12,11
Oct-17,Out-State,JR,College Board,2020,24,15,8,5,2,2
Oct-17,Out-State,JR,College Board,2021,3,2,2,2,2,0
Oct-17,Out-State,JR,NRCCUA,2018,2,2,0,0,0,0
Oct-17,Out-State,JR,NRCCUA,2019,1261,31,7,6,1,1
Oct-17,Out-State,JR,NRCCUA,2020,4,4,0,0,0,0
Oct-17,Out-State,SR,College Board,2017,1,0,0,0,0,0
Oct-17,Out-State,SR,College Board,2018,1296,29,14,11,4,3
Oct-17,Out-State,SR,College Board,2019,245,13,6,4,0,0
Oct-17,Out-State,SR,College Board,2020,1,1,1,0,0,0
Oct-17,Out-State,SR,NRCCUA,2018,341,1,0,0,0,0
Oct-17,Out-State,SR,NRCCUA,2019,5,3,1,1,0,0
Feb-18,In-State,JR,College Board,2018,16,15,1,0,0,0
Feb-18,In-State,JR,College Board,2019,3703,930,595,539,182,157
Feb-18,In-State,JR,College Board,2020,104,101,85,68,43,36
Feb-18,In-State,JR,College Board,2021,4,3,1,0,0,0
Feb-18,In-State,JR,NRCCUA,2018,4,4,0,0,0,0
Feb-18,In-State,JR,NRCCUA,2019,174,32,20,18,8,7
Feb-18,In-State,JR,NRCCUA,2020,7,6,2,2,1,0
Feb-18,In-State,JR,NRCCUA,2021,1,1,0,0,0,0
Feb-18,In-State,SR,College Board,2018,990,21,12,8,5,3
Feb-18,In-State,SR,College Board,2019,90,26,20,17,12,10
Feb-18,In-State,SR,College Board,2020,7,6,5,4,2,1
Feb-18,In-State,SR,College Board,2021,1,1,1,0,0,0
Feb-18,In-State,SR,NRCCUA,2018,183,9,4,3,2,2
Feb-18,In-State,SR,NRCCUA,2019,5,5,3,3,1,1
Feb-18,In-State,SR,NRCCUA,2020,4,3,3,3,1,0
Feb-18,Out-State,JR,College Board,2018,15,13,0,0,0,0
Feb-18,Out-State,JR,College Board,2019,21126,639,268,217,33,31
Feb-18,Out-State,JR,College Board,2020,44,33,16,11,5,2
Feb-18,Out-State,JR,College Board,2021,4,2,0,0,0,0
Feb-18,Out-State,JR,NRCCUA,2018,10,10,0,0,0,0
Feb-18,Out-State,JR,NRCCUA,2019,19795,433,121,100,14,13
Feb-18,Out-State,JR,NRCCUA,2020,33,28,7,5,1,1
Feb-18,Out-State,JR,NRCCUA,2021,11,3,2,0,0,0
Feb-18,Out-State,JR,NRCCUA,2022,1,1,0,0,0,0
Feb-18,Out-State,SR,College Board,2018,1,0,0,0,0,0
Feb-18,Out-State,SR,College Board,2019,9084,66,34,28,4,3
Feb-18,Out-State,SR,College Board,2020,4,3,2,2,1,1
Feb-18,Out-State,SR,NRCCUA,2019,43,2,1,1,1,1
Feb-18,Out-State,SR,NRCCUA,2020,2,0,0,0,0,0
Oct-18,In-State,JR,College Board,2020,1,1,0,0,0,0
Oct-18,In-State,JR,College Board,2021,1,0,0,0,0,0
Oct-18,In-State,SR,College Board,2019,1115,135,99,83,28,21
Oct-18,In-State,SR,College Board,2020,33,33,25,19,10,9
Oct-18,In-State,SR,College Board,2021,1,1,0,0,0,0
Oct-18,In-State,SR,NRCCUA,2019,100,12,12,10,3,1
Oct-18,In-State,SR,NRCCUA,2020,5,5,4,4,2,2
Oct-18,Out-State,JR,College Board,2020,2,0,0,0,0,0
Oct-18,Out-State,JR,College Board,2021,1,0,0,0,0,0
Oct-18,Out-State,SR,College Board,2018,3,0,0,0,0,0
Oct-18,Out-State,SR,College Board,2019,33475,249,155,106,13,11
Oct-18,Out-State,SR,College Board,2020,19,17,11,5,0,0
Oct-18,Out-State,SR,College Board,2021,4,2,0,0,0,0
Oct-18,Out-State,SR,College Board,2022,1,0,0,0,0,0
Oct-18,Out-State,SR,NRCCUA,2019,2529,23,13,11,4,4
Oct-18,Out-State,SR,NRCCUA,2020,4,3,2,1,0,0
Oct-18,Out-State,SR,NRCCUA,2021,1,0,0,0,0,0
Oct-18,Out-State,SR,NRCCUA,2022,2,0,0,0,0,0
Feb-19,In-State,JR,College Board,2019,77,77,1,1,0,0
Feb-19,In-State,JR,College Board,2020,3648,885,577,558,99,85
Feb-19,In-State,JR,College Board,2021,12,12,6,6,6,0
Feb-19,In-State,JR,College Board,2022,2,2,1,0,0,0
Feb-19,In-State,JR,NRCCUA,2020,2,2,2,1,1,1
Feb-19,In-State,SR,College Board,2020,8,3,0,0,0,0
Feb-19,In-State,SR,NRCCUA,2019,1,1,0,0,0,0
Feb-19,In-State,SR,NRCCUA,2020,53,53,53,52,10,9
Feb-19,Out-State,JR,College Board,2017,1,0,0,0,0,0
Feb-19,Out-State,JR,College Board,2019,25,24,0,0,0,0
Feb-19,Out-State,JR,College Board,2020,5759,184,87,84,18,15
Feb-19,Out-State,JR,College Board,2021,7,5,1,1,1,0
Feb-19,Out-State,JR,College Board,2022,1,1,0,0,0,0
Feb-19,Out-State,SR,NRCCUA,2020,7,7,7,7,1,1
Dec-19,In-State,JR,College Board,2019,1,1,0,0,0,0
Dec-19,In-State,JR,College Board,2020,6,6,1,1,1,1
Dec-19,In-State,JR,College Board,2021,4858,134,0,0,0,0
Dec-19,In-State,JR,College Board,2022,5,5,0,0,0,0
Dec-19,In-State,JR,NRCCUA,2020,14,1,0,0,0,0
Dec-19,In-State,JR,NRCCUA,2021,1435,35,1,0,0,0
Dec-19,In-State,JR,NRCCUA,2022,4,2,0,0,0,0
Dec-19,In-State,SR,College Board,2019,18,18,0,0,0,0
Dec-19,In-State,SR,College Board,2020,1313,79,71,59,19,16
Dec-19,In-State,SR,College Board,2021,3,3,2,1,1,0
Dec-19,In-State,SR,NRCCUA,2019,6,6,0,0,0,0
Dec-19,In-State,SR,NRCCUA,2020,992,35,26,20,5,3
Dec-19,In-State,SR,NRCCUA,2021,6,2,1,0,0,0
Dec-19,In-State,SR,NRCCUA,2022,1,0,0,0,0,0
Dec-19,Out-State,JR,College Board,2019,1,1,0,0,0,0
Dec-19,Out-State,JR,College Board,2020,1,1,0,0,0,0
Dec-19,Out-State,JR,College Board,2021,8985,63,1,0,0,0
Dec-19,Out-State,JR,College Board,2022,3,1,0,0,0,0
Dec-19,Out-State,JR,NRCCUA,2020,7,1,1,1,0,0
Dec-19,Out-State,JR,NRCCUA,2021,2920,28,1,0,0,0
Dec-19,Out-State,JR,NRCCUA,2022,12,1,0,0,0,0
Dec-19,Out-State,SR,College Board,2019,1,1,0,0,0,0
Dec-19,Out-State,SR,College Board,2020,743,4,4,3,0,0
Dec-19,Out-State,SR,College Board,2021,1,1,1,1,1,0
Dec-19,Out-State,SR,NRCCUA,2019,2,2,0,0,0,0
Dec-19,Out-State,SR,NRCCUA,2020,2848,19,16,14,3,2
Dec-19,Out-State,SR,NRCCUA,2021,31,1,0,0,0,0
Dec-19,Out-State,SR,NRCCUA,2022,2,0,0,0,0,0
